system,utt_id,speaker_id,age_band,wer,cer
mms-1b-all,5348024557539476_chunk_2_enhanced,S4259465500359288,control,0.25,0.08181818181818182
mms-1b-all,5348024557539487_chunk_4_enhanced,S4259465500359288,control,0.1724137931034483,0.04929577464788732
mms-1b-all,5348024557539488_chunk_3_enhanced,S4259465500359288,control,0.20754716981132076,0.08085106382978724
mms-1b-all,5348024557539488_chunk_4_enhanced,S4259465500359288,control,0.4642857142857143,0.20930232558139536
mms-1b-all,5348024557539529_chunk_1_enhanced,S4259240900388723,control,0.3333333333333333,0.06097560975609756
mms-1b-all,5348024557539551_chunk_1_enhanced,S4259240900388723,control,0.22950819672131148,0.11387900355871886
mms-1b-all,5348024557539554_chunk_1_enhanced,S4259240900388723,control,0.8297872340425532,0.681592039800995
mms-1b-all,5348024557539555_chunk_1_enhanced,S4259240900388723,control,0.2857142857142857,0.08108108108108109
mms-1b-all,5348024557539557_chunk_1_enhanced,S4259240900388723,control,0.1875,0.034482758620689655
mms-1b-all,5348024557539575_chunk_1_enhanced,S4259240900388723,control,0.13636363636363635,0.02727272727272727
mms-1b-all,5348024557539681_chunk_1_enhanced,S4257509800382215,control,0.6666666666666666,0.4
mms-1b-all,5348024557539703_chunk_3_enhanced,S4257509800382215,control,0.20689655172413793,0.09375
mms-1b-all,5348024557539705_chunk_4_enhanced,S4257509800382215,control,0.1875,0.04
mms-1b-all,5348024557539705_chunk_5_enhanced,S4257509800382215,control,0.36585365853658536,0.1377551020408163
mms-1b-all,5348024557539713_chunk_1_enhanced,S4258040800332887,control,0.06666666666666667,0.011904761904761904
mms-1b-all,5348024557539715_chunk_1_enhanced,S4258040800332887,control,2.0,0.875
mms-1b-all,5348024557539722_chunk_1_enhanced,S4258040800332887,control,0.75,0.5087719298245614
mms-1b-all,5348024557539726_chunk_1_enhanced,S4258040800332887,control,0.5,0.20253164556962025
mms-1b-all,5348024557539728_chunk_1_enhanced,S4258040800332887,control,0.5,0.2809917355371901
mms-1b-all,5348024557539742_chunk_2_enhanced,S4258040800332887,control,0.18181818181818182,0.0851063829787234
mms-1b-all,5348024557539758_chunk_1_enhanced,S4258040800332887,control,0.3076923076923077,0.1076923076923077
mms-1b-all,5348024557539758_chunk_3_enhanced,S4258040800332887,control,0.3333333333333333,0.075
mms-1b-all,5348024557539758_chunk_5_enhanced,S4258040800332887,control,0.25,0.075
mms-1b-all,5348024557539760_chunk_2_enhanced,S4258040800332887,control,0.3157894736842105,0.14473684210526316
mms-1b-all,5348024557539760_chunk_4_enhanced,S4258040800332887,control,0.22857142857142856,0.12987012987012986
mms-1b-all,5348024557539762_chunk_4_enhanced,S4258040800332887,control,0.11764705882352941,0.04938271604938271
mms-1b-all,5348024557539764_chunk_3_enhanced,S4258040800332887,control,0.3333333333333333,0.11811023622047244
mms-1b-all,5348024557539771_chunk_3_enhanced,S4258040800332887,control,0.3333333333333333,0.11764705882352941
mms-1b-all,5348024557539915_chunk_1_enhanced,S4258383600323788,control,0.3157894736842105,0.11702127659574468
mms-1b-all,5348024557539944_chunk_1_enhanced,S4258383600323788,control,0.5428571428571428,0.2647058823529412
mms-1b-all,5348024557539962_chunk_1_enhanced,S4258383600323788,control,0.42105263157894735,0.23529411764705882
